,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
28,1104.b1i.txt,1859.19,946.09,715.07,550.06,5,0,6
29,1021.b1.txt,1735.63,919.54,896.55,574.71,1,0,2
30,1006.b1.txt,2027.97,967.37,827.51,524.48,0,1,5
31,0103.b1.txt,2045.95,1017.51,962.8,240.7,2,0,3
32,0200.b1.txt,2206.98,1059.85,785.54,822.94,0,1,2
33,3505.b1.txt,1629.39,1150.16,915.87,745.47,2,0,4
34,1104.b1.txt,1859.19,946.09,715.07,550.06,5,0,6
35,1541.b1.txt,2005.49,810.44,837.91,576.92,1,1,2
36,4035.b1.txt,1563.73,1143.23,617.61,709.59,1,0,0
37,2070.b1i.txt,2031.06,1075.27,537.63,442.05,2,0,2
38,3511.b1.txt,1673.87,1187.9,896.33,701.94,0,0,0
39,3518.b1.txt,1739.62,1077.44,583.61,662.18,5,0,0
40,1500.b1.txt,2264.38,869.03,734.39,538.56,1,0,4
41,0307.b1.txt,2084.26,853.66,698.45,288.25,12,0,3
42,2018.b1.txt,2203.91,968.07,793.0,484.04,0,1,8
43,3503.b1.txt,2412.79,813.95,755.81,377.91,0,0,0
44,3506.b1.txt,2288.73,927.23,845.07,316.9,0,0,3
45,1023.b1.txt,1804.51,859.29,1084.85,805.59,1,0,5
46,0134.b1.txt,2006.76,1014.66,811.72,665.16,0,0,0
47,0122.b1.txt,2138.66,1210.34,763.81,517.04,0,0,0
48,1097.b1.txt,1950.72,965.09,944.56,595.48,8,0,2
49,4036.b1.txt,1764.04,1011.24,988.76,483.15,3,0,1
50,3062.b1.txt,2306.76,905.8,1002.42,507.25,0,0,1
51,1069.b1.txt,1610.56,837.12,646.04,618.74,6,1,9
52,2049.b1.txt,2143.65,994.48,696.13,519.34,4,0,1
53,3520.b1.txt,2424.24,898.99,858.59,606.06,0,1,0
54,1012.b1.txt,2175.0,962.5,837.5,400.0,0,0,0
55,1066.b1.txt,1936.25,1015.35,1086.19,602.13,1,0,3
56,2034.b1.txt,1858.29,975.94,641.71,574.87,5,0,2
57,3515.b1.txt,2293.14,1052.01,921.99,508.27,2,0,1
58,0308.b1.txt,1915.71,977.01,929.12,727.97,1,0,0
59,0140.b1.txt,2160.49,1024.69,728.4,543.21,0,0,0
60,3510.b1.txt,1854.58,895.68,958.9,400.42,4,1,11
61,4012.b1.txt,2249.17,970.23,705.62,672.55,1,0,0
62,0139.b1.txt,1890.03,1214.2,744.56,458.19,0,0,0
63,1520.b1.txt,1974.92,961.34,783.7,522.47,0,2,2
64,3020.b1.txt,1912.68,1070.69,623.7,405.41,1,1,4
65,1112.b1.txt,2089.08,1145.28,678.69,593.85,0,0,0
66,4038.b1.txt,2109.0,995.26,746.45,639.81,0,0,0
67,3523.b1.txt,2150.66,1091.7,1004.37,502.18,0,0,9
68,2030.b1.txt,1708.86,1025.32,974.68,645.57,1,0,0
69,1003.b1.txt,2089.89,966.29,977.53,471.91,6,0,5
70,2070.b1.txt,2050.36,1079.14,539.57,443.65,2,0,2
71,2028.b1.txt,1729.52,1248.37,572.17,637.19,1,0,0
72,0300.b1.txt,1652.27,917.93,1166.31,572.35,15,0,3
73,0171.b1.txt,2067.18,1007.75,633.07,581.4,3,0,0
74,1006.b1i.txt,2027.97,967.37,827.51,524.48,0,1,5
75,2019.b1.txt,1572.48,1253.07,798.53,577.4,3,0,0
76,0165.b1.txt,2026.58,963.46,575.86,598.01,9,0,0
77,1532.b1.txt,2182.49,850.8,838.47,443.9,1,0,2
78,3514.b1.txt,2106.04,1030.93,883.65,412.37,8,0,1
79,2036.b1.txt,1725.73,1232.67,770.42,647.15,0,0,0
